dd41defccd8e44e90b6b97083f7551a549ee05c3,Mon Aug 20 2012 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
gastaldi,0.2908306911857958,1
stalep,1.0003297400126823,138
,660ed31cf930a803aa2b7b7072b35604d647fd99,Tue Aug 20 2013 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
gastaldi,1.2907038681039948,2
stalep,2.0002029169308813,319
,ccab6c6d47984413200a7cb987fad5468f451731,Wed Aug 20 2014 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
gastaldi,2.290577045022194,22
koentsje,0.449714648065948,2
aslakknutsen,0.4305389980976538,8
danielsoro,0.29630944831959416,29
lincolnthree,0.871578947368421,12
rhusar,0.6798224476854787,1
adam-wyluda,0.5264172479391249,1
balent,0.3538363982244769,11
johnaohara,0.08537729866835764,1
helio-frota,0.2771337983512999,13
stalep,3.0000760938490805,715
,7c901b41e0dd4c5d860e3ac6cf0b5af704be464a,Thu Aug 20 2015 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
gastaldi,3.290450221940393,23
koentsje,1.4495878249841472,2
aslakknutsen,1.430412175015853,8
danielsoro,1.2961826252377933,53
gaol,0.9701965757767914,3
baranowb,0.37575142675967027,1
lincolnthree,1.8714521242866202,12
rhusar,1.6796956246036778,1
jmartisk,0.011414077362079899,1
adam-wyluda,1.5262904248573241,1
balent,1.353709575142676,11
johnaohara,1.0852504755865569,1
VineetReynolds,0.9510209258084972,1
ryanemerson,0.1456436271401395,1
Gonthim,0.5675079264426126,11
jerr,0.5483322764743184,6
helio-frota,1.277006975269499,24
brmeyer,0.49080532656943565,4
stalep,3.9999492707672797,804
,d401797d54a4769c251a3eb2524aff54d9f24714,Sat Aug 20 2016 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
gastaldi,4.293062777425491,29
koentsje,2.4522003804692454,2
aslakknutsen,2.4330247305009514,8
jfdenise,0.2853519340519975,10
danielsoro,2.2987951807228915,53
gaol,1.9728091312618896,3
baranowb,1.3783639822447686,1
lincolnthree,2.8740646797717186,12
rhusar,2.6823081800887763,1
jmartisk,1.014026632847178,1
adam-wyluda,2.5289029803424223,1
balent,2.3563221306277744,11
johnaohara,2.087863031071655,1
VineetReynolds,1.9536334812935954,1
ryanemerson,1.1482561826252378,1
Gonthim,1.5701204819277108,16
soul2zimate,0.18947368421052632,2
jerr,1.5509448319594166,6
helio-frota,2.2796195307545974,26
brmeyer,1.4934178820545339,4
hasalex,0.6496892834495879,2
stalep,5.002561826252378,890
gnodet,0.8606214331008244,24
,5f7ad33954541d331d952675f29a7e05ebf6fdad,Sun Aug 20 2017 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
gastaldi,5.29293595434369,29
koentsje,3.4520735573874446,2
aslakknutsen,3.43289790741915,8
jfdenise,1.2852251109701966,32
danielsoro,3.2986683576410907,53
gaol,2.972682308180089,3
baranowb,2.3782371591629676,1
lincolnthree,3.8739378566899174,12
rhusar,3.6821813570069755,1
jmartisk,2.0138998097653773,1
adam-wyluda,3.5287761572606215,1
hokuda,0.8441851616994293,4
balent,3.356195307545973,11
johnaohara,3.0877362079898543,2
VineetReynolds,2.9535066582117944,1
ryanemerson,2.1481293595434368,1
Gonthim,2.56999365884591,16
soul2zimate,1.1893468611287255,2
jerr,2.5508180088776156,6
helio-frota,3.2794927076727967,26
TomasHofman,0.9784147114774889,2
brmeyer,2.493291058972733,4
hasalex,1.649562460367787,2
stalep,6.002435003170577,1083
gnodet,1.8604946100190234,24
