6f3da9762419736c6aaac05a4070c4d5b455d4ef,Sun Jan 01 2012 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,0.921001902346227,16
thesmith,0.9977045022194039,6
chrisajackson,0.9593532022828155,1
,c80cb578f2606cd83609414da7c948b2193590eb,Tue Jan 01 2013 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,1.9236144578313252,37
sbtourist,0.5813189600507292,4
thesmith,2.0003170577045024,6
chrisajackson,1.9619657577679137,1
,9fff1cfa0eff964925e7593fd0977506c8d128e2,Wed Jan 01 2014 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,2.9234876347495242,37
sbtourist,1.5811921369689284,4
knowledgejunkie,0.2005453392517438,3
chaos-generator,0.469004438807863,3
liamgh,0.14301838934686112,1
thesmith,3.000190234622701,6
chrisajackson,2.9618389346861127,1
AndyToone,0.7566391883322765,2
,e3ea5122dbd5b395990b2d22f3be11d2cf4e78bf,Thu Jan 01 2015 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,3.9233608116677234,37
sbtourist,2.5810653138871276,4
knowledgejunkie,1.200418516169943,3
chaos-generator,1.4688776157260621,3
liamgh,1.1428915662650603,2
thesmith,4.000063411540901,6
chrisajackson,3.961712111604312,1
AndyToone,1.7565123652504755,2
,ee269269bb2e8f06a0952abfe3147ea4d7380873,Fri Jan 01 2016 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,4.923233988585922,37
sbtourist,3.580938490805327,4
knowledgejunkie,2.200291693088142,3
emilssolmanis,0.16767279644895372,22
chaos-generator,2.4687507926442613,3
liamgh,2.1427647431832595,2
thesmith,4.999936588459099,6
tsprlng,0.6470640456563095,1
Dalamar42,0.2827266962587191,9
mbst-jamie,0.3210779961953075,2
chrisajackson,4.961585288522511,1
AndyToone,2.7563855421686747,2
,5b1e1ce8ae834fbd79fd55f2f69b5790ba3270a3,Sun Jan 01 2017 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,5.925846544071021,37
sbtourist,4.583551046290425,4
knowledgejunkie,3.2029042485732404,3
emilssolmanis,1.170285351934052,61
chaos-generator,3.4713633481293598,3
liamgh,3.1453772986683575,2
thesmith,6.002549143944198,6
tsprlng,1.6496766011414077,1
Dalamar42,1.2853392517438174,19
dragospitica,0.038922003804692455,2
mbst-jamie,1.3236905516804058,5
JamieAP,0.5950158528852251,22
chrisajackson,5.964197844007609,1
AndyToone,3.758998097653773,2
,e52e3e2cbe1ea4d167d4eeb5d5c1dd5c4d7e1493,Mon Jan 01 2018 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,6.92571972098922,37
jamiesprax,0.9237412809131262,1
sbtourist,5.583424223208624,4
knowledgejunkie,4.20277742549144,3
alianos-,0.31012048192771086,10
emilssolmanis,2.170158528852251,74
chaos-generator,4.4712365250475585,3
liamgh,4.145250475586557,2
thesmith,7.002422320862397,6
tsprlng,2.649549778059607,1
Dalamar42,2.2852124286620166,19
dragospitica,1.0387951807228917,14
mbst-jamie,2.323563728598605,5
JamieAP,1.5948890298034242,22
chrisajackson,6.964071020925808,1
AndyToone,4.758871274571972,2
,5865b19054f01699f63e912713436d5988539344,Tue Jan 01 2019 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,7.9255928979074195,37
jamiesprax,1.9236144578313252,2
sbtourist,6.583297400126823,4
knowledgejunkie,5.202650602409639,3
alianos-,1.30999365884591,130
emilssolmanis,3.1700317057704503,74
TjlHope,0.6771972098922003,2
chaos-generator,5.471109701965758,3
tristanbeardmore-gray,0.7730754597336715,3
liamgh,5.145123652504756,2
thesmith,8.002295497780596,6
tsprlng,3.649422954977806,1
Dalamar42,3.285085605580216,19
dragospitica,2.038668357641091,15
mbst-jamie,3.3234369055168043,5
JamieAP,2.594762206721623,22
chrisajackson,7.9639441978440075,1
AndyToone,5.758744451490172,2
,60ad4f8a8eca9595cee7593450493e33a92a40b9,Wed Jan 01 2020 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
shinyhappydan,8.925466074825618,37
jamiesprax,2.9234876347495242,2
sbtourist,7.583170577045022,4
knowledgejunkie,6.202523779327838,3
alianos-,2.309866835764109,135
emilssolmanis,4.169904882688649,74
TjlHope,1.6770703868103995,2
chaos-generator,6.470982878883957,3
tristanbeardmore-gray,1.7729486366518707,3
liamgh,6.144996829422955,2
thesmith,9.002168674698796,6
tsprlng,4.649296131896005,1
Dalamar42,4.284958782498415,19
EmiEnache,0.27724793912492074,6
dragospitica,3.0385415345592897,20
mbst-jamie,4.323310082435003,5
JamieAP,3.5946353836398224,22
chrisajackson,8.963817374762206,1
AndyToone,6.75861762840837,2
,434f43f5d6193f084ccd9336c48bfd34db0179ac,Fri Jan 01 2021 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
obroomhall,0.8388205453392518,7
shinyhappydan,9.928078630310717,37
jamiesprax,3.9261001902346226,2
sbtourist,8.585783132530121,4
knowledgejunkie,7.205136334812936,3
alianos-,3.3124793912492074,138
emilssolmanis,5.172517438173748,74
TjlHope,2.6796829422954977,2
chaos-generator,7.473595434369055,3
tristanbeardmore-gray,2.7755611921369687,5
liamgh,7.147609384908053,2
thesmith,10.004781230183893,6
tsprlng,5.651908687381104,1
Dalamar42,5.287571337983513,19
EmiEnache,1.279860494610019,12
dragospitica,4.041154090044388,20
mbst-jamie,5.325922637920102,5
JamieAP,4.59724793912492,22
chrisajackson,9.966429930247305,1
AndyToone,7.761230183893469,2
,31909a74b3712d29491f23f5abfa07d47256d85b,Sat Jan 01 2022 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
obroomhall,1.8386937222574509,7
shinyhappydan,10.927951807228915,37
jamiesprax,4.925973367152822,2
sbtourist,9.58565630944832,4
knowledgejunkie,8.205009511731134,3
alianos-,4.312352568167406,138
emilssolmanis,6.172390615091946,74
TjlHope,3.679556119213697,2
chaos-generator,8.473468611287254,3
tristanbeardmore-gray,3.775434369055168,5
liamgh,8.147482561826253,2
thesmith,11.004654407102093,6
tsprlng,6.651781864299302,1
Dalamar42,6.287444514901712,19
EmiEnache,2.279733671528218,12
dragospitica,5.041027266962587,20
pawel-mtbcst,0.09370957514267597,1
mbst-jamie,6.3257958148383,5
JamieAP,5.59712111604312,22
chrisajackson,10.966303107165505,1
AndyToone,8.761103360811667,2
,32ca295a8251fa61f91fb37f0267e29fad5c489a,Sun Jan 01 2023 00:00:00 GMT-0500 (Eastern Standard Time),
Logins,Time Spent (Years),Total Commits
obroomhall,2.83856689917565,7
shinyhappydan,11.927824984147115,37
jamiesprax,5.925846544071021,2
sbtourist,10.585529486366518,4
knowledgejunkie,9.204882688649334,3
IvanKaraslavov,0.9401775523145213,1
alianos-,5.312225745085605,138
emilssolmanis,7.1722637920101455,74
TjlHope,4.679429296131896,2
chaos-generator,9.473341788205454,3
tristanbeardmore-gray,4.775307545973368,5
liamgh,9.147355738744452,2
thesmith,12.004527584020291,6
tsprlng,7.651655041217501,1
Dalamar42,7.287317691819911,19
EmiEnache,3.2796068484464174,12
dragospitica,6.040900443880786,20
pawel-mtbcst,1.0935827520608752,3
mbst-jamie,7.325668991756499,5
JamieAP,6.596994292961319,22
cmanique-mb,0.7292454026632847,4
chrisajackson,11.966176284083703,1
AndyToone,9.760976537729867,2
