2bf65f35304b2402c652052d25fc2f608cb844bf,Sun Jul 10 2011 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
chirino,1,0.9400634115409005
huxi,1,0.8441851616994293
sclasen,5,0.36479391249207355
ansel1,2,0.5565504121750159
pcl,1,0.5373747622067216
xfournet,4,0.6907799619530754
sauthieg,1,0.9400634115409005
cbeust,235,0.9975903614457832
,75d579a2fc672582cfadefc360fe18b05caa7e21,Tue Jul 10 2012 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
chirino,1,1.9426759670259988
huxi,1,1.8467977171845276
sclasen,5,1.3674064679771718
ansel1,2,1.5591629676601142
pcl,1,1.53998731769182
evigeant,1,0.3702726696258719
pmendelson,1,0.33192136968928343
xfournet,4,1.6933925174381737
acornejo,1,0.8688395688015219
joelittlejohn,1,0.005935320228281547
amuraru,3,0.7346100190234622
henryju,1,0.6195561192136969
sauthieg,1,1.9426759670259988
cbeust,338,2.0002029169308813
,33dcbc6fdca9e9318a37b9f3b8e4f821c69b0f7b,Wed Jul 10 2013 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
chirino,1,2.942549143944198
huxi,1,2.8466708941027266
sclasen,5,2.367279644895371
ansel1,2,2.559036144578313
pcl,1,2.539860494610019
evigeant,1,1.370145846544071
pmendelson,1,1.3317945466074825
xfournet,4,2.6932656943563726
acornejo,1,1.868712745719721
joelittlejohn,1,1.0058084971464807
styurin,1,0.8140519974635384
madrob,3,0.10455294863665188
cedricrefresh,1,0.7181737476220672
tzellman,1,0.10455294863665188
Vanuan,5,0.7181737476220672
amuraru,3,1.7344831959416613
henryju,1,1.619429296131896
sauthieg,1,2.942549143944198
cbeust,375,3.0000760938490805
,44ef916dcf74e46adbf7c2ae99643bd0e97c16e6,Thu Jul 10 2014 00:00:00 GMT-0400 (Eastern Daylight Time),
Logins,Time Spent (Years),Total Commits
chirino,1,3.9424223208623967
huxi,1,3.8465440710209258
sclasen,5,3.36715282181357
ansel1,2,3.5589093214965124
